Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Merthyr Tydfil,11/03/2020,0,0,0,2,10
Merthyr Tydfil,10/03/2020,0,0,0,0,8
Merthyr Tydfil,09/03/2020,0,0,0,0,8
Merthyr Tydfil,08/03/2020,0,0,0,0,8
Merthyr Tydfil,07/03/2020,0,0,0,0,8
Merthyr Tydfil,06/03/2020,0,0,0,0,8
Merthyr Tydfil,05/03/2020,0,0,0,2,8
Merthyr Tydfil,04/03/2020,0,0,0,1,6
Merthyr Tydfil,03/03/2020,0,0,0,0,5
Merthyr Tydfil,02/03/2020,0,0,0,2,5
Merthyr Tydfil,01/03/2020,0,0,0,0,3
Merthyr Tydfil,29/02/2020,0,0,0,0,3
Merthyr Tydfil,28/02/2020,0,0,0,1,3
Merthyr Tydfil,27/02/2020,0,0,0,2,2
Merthyr Tydfil,26/02/2020,0,0,0,0,0
Merthyr Tydfil,25/02/2020,0,0,0,0,0
Merthyr Tydfil,24/02/2020,0,0,0,0,0
Merthyr Tydfil,23/02/2020,0,0,0,0,0
Merthyr Tydfil,22/02/2020,0,0,0,0,0
Merthyr Tydfil,21/02/2020,0,0,0,0,0
Merthyr Tydfil,20/02/2020,0,0,0,0,0
Merthyr Tydfil,19/02/2020,0,0,0,0,0
Merthyr Tydfil,18/02/2020,0,0,0,0,0
Merthyr Tydfil,17/02/2020,0,0,0,0,0
Merthyr Tydfil,16/02/2020,0,0,0,0,0
Merthyr Tydfil,15/02/2020,0,0,0,0,0
Merthyr Tydfil,14/02/2020,0,0,0,0,0
Merthyr Tydfil,13/02/2020,0,0,0,0,0
Merthyr Tydfil,12/02/2020,0,0,0,0,0
Merthyr Tydfil,11/02/2020,0,0,0,0,0
Merthyr Tydfil,10/02/2020,0,0,0,0,0
Merthyr Tydfil,09/02/2020,0,0,0,0,0
Merthyr Tydfil,08/02/2020,0,0,0,0,0
Merthyr Tydfil,07/02/2020,0,0,0,0,0
Merthyr Tydfil,06/02/2020,0,0,0,0,0
Merthyr Tydfil,05/02/2020,0,0,0,0,0
Merthyr Tydfil,04/02/2020,0,0,0,0,0
Merthyr Tydfil,03/02/2020,0,0,0,0,0
Monmouthshire,01/07/2020,0,357,379.2,0,3114
Monmouthshire,30/06/2020,0,357,379.2,7,3114
Monmouthshire,29/06/2020,0,357,379.2,42,3107
Monmouthshire,28/06/2020,0,357,379.2,17,3065
Monmouthshire,27/06/2020,0,357,379.2,19,3048
Monmouthshire,26/06/2020,0,357,379.2,34,3029
Monmouthshire,25/06/2020,0,357,379.2,37,2995
Monmouthshire,24/06/2020,3,357,379.2,68,2958
Monmouthshire,23/06/2020,0,354,376,36,2890
Monmouthshire,22/06/2020,0,354,376,42,2854
Monmouthshire,21/06/2020,0,354,376,38,2812
Monmouthshire,20/06/2020,0,354,376,30,2774
Monmouthshire,19/06/2020,1,354,376,39,2744
Monmouthshire,18/06/2020,0,353,375,41,2705
Monmouthshire,17/06/2020,1,353,375,47,2664
Monmouthshire,16/06/2020,1,352,373.9,41,2617
Monmouthshire,15/06/2020,1,351,372.8,51,2576
Monmouthshire,14/06/2020,1,350,371.8,86,2525
Monmouthshire,13/06/2020,0,349,370.7,18,2439
Monmouthshire,12/06/2020,0,349,370.7,78,2421
Monmouthshire,11/06/2020,0,349,370.7,14,2343
Monmouthshire,10/06/2020,0,349,370.7,35,2329
Monmouthshire,09/06/2020,0,349,370.7,90,2294
Monmouthshire,08/06/2020,1,349,370.7,47,2204
Monmouthshire,07/06/2020,0,348,369.7,16,2157
Monmouthshire,06/06/2020,0,348,369.7,74,2141
Monmouthshire,05/06/2020,0,348,369.7,35,2067
Monmouthshire,04/06/2020,0,348,369.7,39,2032
Monmouthshire,03/06/2020,1,348,369.7,61,1993
Monmouthshire,02/06/2020,1,347,368.6,55,1932
Monmouthshire,01/06/2020,0,346,367.5,25,1877
Monmouthshire,31/05/2020,5,346,367.5,21,1852
Monmouthshire,30/05/2020,0,341,362.2,40,1831
Monmouthshire,29/05/2020,2,341,362.2,122,1791
Monmouthshire,28/05/2020,0,339,360.1,22,1669
Monmouthshire,27/05/2020,1,339,360.1,35,1647
Monmouthshire,26/05/2020,0,338,359,55,1612
Monmouthshire,25/05/2020,2,338,359,130,1557
Monmouthshire,24/05/2020,3,336,356.9,26,1427
Monmouthshire,23/05/2020,0,333,353.7,14,1401
Monmouthshire,22/05/2020,1,333,353.7,21,1387
Monmouthshire,21/05/2020,0,332,352.7,17,1366
Monmouthshire,20/05/2020,0,332,352.7,18,1349
Monmouthshire,19/05/2020,1,332,352.7,36,1331
Monmouthshire,18/05/2020,17,331,351.6,42,1295
Monmouthshire,17/05/2020,7,314,333.5,18,1253
Monmouthshire,16/05/2020,1,307,326.1,28,1235
Monmouthshire,15/05/2020,3,306,325,69,1207
Monmouthshire,14/05/2020,0,303,321.9,18,1138
Monmouthshire,13/05/2020,10,303,321.9,29,1120
Monmouthshire,12/05/2020,3,293,311.2,15,1091
Monmouthshire,11/05/2020,2,290,308,10,1076
Monmouthshire,10/05/2020,1,288,305.9,7,1066
Monmouthshire,09/05/2020,0,287,304.9,18,1059
Monmouthshire,08/05/2020,1,287,304.9,15,1041
Monmouthshire,07/05/2020,8,286,303.8,40,1026
Monmouthshire,06/05/2020,1,278,295.3,15,986
Monmouthshire,05/05/2020,2,277,294.2,38,971
Monmouthshire,04/05/2020,2,275,292.1,15,933
Monmouthshire,03/05/2020,3,273,290,15,918
Monmouthshire,02/05/2020,19,270,286.8,44,903
Monmouthshire,01/05/2020,1,251,266.6,22,859
Monmouthshire,30/04/2020,4,250,265.6,18,837
Monmouthshire,29/04/2020,4,246,261.3,24,819
Monmouthshire,28/04/2020,6,242,257.1,19,795
Monmouthshire,27/04/2020,3,236,250.7,17,776
Monmouthshire,26/04/2020,0,233,247.5,4,759
Monmouthshire,25/04/2020,2,233,247.5,11,755
Monmouthshire,24/04/2020,2,231,245.4,19,744
Monmouthshire,23/04/2020,1,229,243.2,8,725
Monmouthshire,22/04/2020,5,228,242.2,25,717
Monmouthshire,21/04/2020,3,223,236.9,19,692
Monmouthshire,20/04/2020,2,220,233.7,24,673
Monmouthshire,19/04/2020,4,218,231.6,8,649
Monmouthshire,18/04/2020,2,214,227.3,16,641
Monmouthshire,17/04/2020,5,212,225.2,19,625
Monmouthshire,16/04/2020,6,207,219.9,20,606
Monmouthshire,15/04/2020,6,201,213.5,21,586
Monmouthshire,14/04/2020,5,195,207.1,14,565
Monmouthshire,13/04/2020,6,190,201.8,12,551
Monmouthshire,12/04/2020,3,184,195.4,9,539
Monmouthshire,11/04/2020,3,181,192.3,6,530
Monmouthshire,10/04/2020,8,178,189.1,22,524
Monmouthshire,09/04/2020,14,170,180.6,18,502
Monmouthshire,08/04/2020,13,156,165.7,26,484
Monmouthshire,07/04/2020,5,143,151.9,15,458
Monmouthshire,06/04/2020,10,138,146.6,31,443
Monmouthshire,05/04/2020,6,128,136,9,412
Monmouthshire,04/04/2020,10,122,129.6,20,403
Monmouthshire,03/04/2020,7,112,119,18,383
Monmouthshire,02/04/2020,6,105,111.5,21,365
Monmouthshire,01/04/2020,6,99,105.2,25,344
Monmouthshire,31/03/2020,3,93,98.8,17,319
Monmouthshire,30/03/2020,11,90,95.6,23,302
Monmouthshire,29/03/2020,5,79,83.9,16,279
Monmouthshire,28/03/2020,7,74,78.6,13,263
Monmouthshire,27/03/2020,3,67,71.2,10,250
Monmouthshire,26/03/2020,5,64,68,22,240
Monmouthshire,25/03/2020,7,59,62.7,21,218
Monmouthshire,24/03/2020,3,52,55.2,13,197
Monmouthshire,23/03/2020,9,49,52,24,184
Monmouthshire,22/03/2020,4,40,42.5,17,160
Monmouthshire,21/03/2020,5,36,38.2,23,143
Monmouthshire,20/03/2020,4,31,32.9,15,120
Monmouthshire,19/03/2020,9,27,28.7,19,105
Monmouthshire,18/03/2020,5,18,19.1,13,86
Monmouthshire,17/03/2020,4,13,13.8,13,73
Monmouthshire,16/03/2020,2,9,9.6,7,60
Monmouthshire,15/03/2020,1,7,7.4,6,53
Monmouthshire,14/03/2020,2,6,6.4,4,47
Monmouthshire,13/03/2020,1,4,4.2,3,43
Monmouthshire,12/03/2020,2,3,3.2,5,40
Monmouthshire,11/03/2020,1,1,1.1,3,35
Monmouthshire,10/03/2020,0,0,0,3,32
Monmouthshire,09/03/2020,0,0,0,0,29
Monmouthshire,08/03/2020,0,0,0,0,29
Monmouthshire,07/03/2020,0,0,0,0,29
Monmouthshire,06/03/2020,0,0,0,1,29
Monmouthshire,05/03/2020,0,0,0,2,28
Monmouthshire,04/03/2020,0,0,0,1,26
Monmouthshire,03/03/2020,0,0,0,4,25
Monmouthshire,02/03/2020,0,0,0,5,21
Monmouthshire,01/03/2020,0,0,0,0,16
Monmouthshire,29/02/2020,0,0,0,6,16
Monmouthshire,28/02/2020,0,0,0,3,10
Monmouthshire,27/02/2020,0,0,0,1,7
Monmouthshire,26/02/2020,0,0,0,0,6
Monmouthshire,25/02/2020,0,0,0,0,6
Monmouthshire,24/02/2020,0,0,0,1,6
Monmouthshire,23/02/2020,0,0,0,0,5
Monmouthshire,22/02/2020,0,0,0,2,5
Monmouthshire,21/02/2020,0,0,0,1,3
Monmouthshire,20/02/2020,0,0,0,0,2
Monmouthshire,19/02/2020,0,0,0,0,2
Monmouthshire,18/02/2020,0,0,0,0,2
Monmouthshire,17/02/2020,0,0,0,0,2
Monmouthshire,16/02/2020,0,0,0,0,2
Monmouthshire,15/02/2020,0,0,0,0,2
Monmouthshire,14/02/2020,0,0,0,0,2
Monmouthshire,13/02/2020,0,0,0,0,2
Monmouthshire,12/02/2020,0,0,0,0,2
Monmouthshire,11/02/2020,0,0,0,0,2
Monmouthshire,10/02/2020,0,0,0,0,2
Monmouthshire,09/02/2020,0,0,0,1,2
Monmouthshire,08/02/2020,0,0,0,1,1
Monmouthshire,07/02/2020,0,0,0,0,0
Monmouthshire,06/02/2020,0,0,0,0,0
Monmouthshire,05/02/2020,0,0,0,0,0
Monmouthshire,04/02/2020,0,0,0,0,0
Monmouthshire,03/02/2020,0,0,0,0,0
Neath Port Talbot,01/07/2020,0,631,441.5,0,6356
Neath Port Talbot,30/06/2020,0,631,441.5,33,6356
Neath Port Talbot,29/06/2020,1,631,441.5,121,6323
Neath Port Talbot,28/06/2020,1,630,440.8,19,6202
Neath Port Talbot,27/06/2020,0,629,440.1,25,6183
Neath Port Talbot,26/06/2020,0,629,440.1,58,6158
Neath Port Talbot,25/06/2020,0,629,440.1,34,6100
Neath Port Talbot,24/06/2020,0,629,440.1,44,6066
Neath Port Talbot,23/06/2020,0,629,440.1,51,6022
Neath Port Talbot,22/06/2020,0,629,440.1,37,5971
Neath Port Talbot,21/06/2020,0,629,440.1,23,5934
Neath Port Talbot,20/06/2020,0,629,440.1,42,5911
Neath Port Talbot,19/06/2020,1,629,440.1,64,5869
Neath Port Talbot,18/06/2020,2,628,439.4,140,5805
Neath Port Talbot,17/06/2020,1,626,438.1,139,5665
Neath Port Talbot,16/06/2020,0,625,437.4,74,5526
Neath Port Talbot,15/06/2020,1,625,437.4,112,5452
Neath Port Talbot,14/06/2020,2,624,436.7,78,5340
Neath Port Talbot,13/06/2020,2,622,435.3,137,5262
Neath Port Talbot,12/06/2020,1,620,433.9,125,5125
Neath Port Talbot,11/06/2020,1,619,433.2,97,5000
Neath Port Talbot,10/06/2020,1,618,432.5,136,4903
Neath Port Talbot,09/06/2020,1,617,431.8,93,4767
Neath Port Talbot,08/06/2020,2,616,431.1,138,4674
Neath Port Talbot,07/06/2020,0,614,429.7,71,4536
Neath Port Talbot,06/06/2020,0,614,429.7,44,4465
Neath Port Talbot,05/06/2020,0,614,429.7,120,4421
Neath Port Talbot,04/06/2020,1,614,429.7,137,4301
Neath Port Talbot,03/06/2020,2,613,429,129,4164
Neath Port Talbot,02/06/2020,2,611,427.6,130,4035
Neath Port Talbot,01/06/2020,1,609,426.2,128,3905
Neath Port Talbot,31/05/2020,0,608,425.5,55,3777
Neath Port Talbot,30/05/2020,0,608,425.5,37,3722
Neath Port Talbot,29/05/2020,2,608,425.5,149,3685
Neath Port Talbot,28/05/2020,0,606,424.1,107,3536
Neath Port Talbot,27/05/2020,1,606,424.1,87,3429
Neath Port Talbot,26/05/2020,3,605,423.4,135,3342
Neath Port Talbot,25/05/2020,0,602,421.3,58,3207
Neath Port Talbot,24/05/2020,1,602,421.3,46,3149
Neath Port Talbot,23/05/2020,1,601,420.6,121,3103
Neath Port Talbot,22/05/2020,3,600,419.9,132,2982
Neath Port Talbot,21/05/2020,1,597,417.8,116,2850
Neath Port Talbot,20/05/2020,0,596,417.1,93,2734
Neath Port Talbot,19/05/2020,4,596,417.1,83,2641
Neath Port Talbot,18/05/2020,2,592,414.3,44,2558
Neath Port Talbot,17/05/2020,2,590,412.9,17,2514
Neath Port Talbot,16/05/2020,26,588,411.5,93,2497
Neath Port Talbot,15/05/2020,4,562,393.3,93,2404
Neath Port Talbot,14/05/2020,3,558,390.5,42,2311
Neath Port Talbot,13/05/2020,4,555,388.4,123,2269
Neath Port Talbot,12/05/2020,3,551,385.6,54,2146
Neath Port Talbot,11/05/2020,2,548,383.5,48,2092
Neath Port Talbot,10/05/2020,7,546,382.1,40,2044
Neath Port Talbot,09/05/2020,2,539,377.2,75,2004
Neath Port Talbot,08/05/2020,8,537,375.8,79,1929
Neath Port Talbot,07/05/2020,3,529,370.2,59,1850
Neath Port Talbot,06/05/2020,4,526,368.1,42,1791
Neath Port Talbot,05/05/2020,1,522,365.3,48,1749
Neath Port Talbot,04/05/2020,0,521,364.6,31,1701
Neath Port Talbot,03/05/2020,2,521,364.6,23,1670
Neath Port Talbot,02/05/2020,1,519,363.2,30,1647
Neath Port Talbot,01/05/2020,7,518,362.5,42,1617
Neath Port Talbot,30/04/2020,9,511,357.6,54,1575
Neath Port Talbot,29/04/2020,4,502,351.3,38,1521
Neath Port Talbot,28/04/2020,3,498,348.5,35,1483
Neath Port Talbot,27/04/2020,5,495,346.4,44,1448
Neath Port Talbot,26/04/2020,7,490,342.9,33,1404
Neath Port Talbot,25/04/2020,13,483,338,32,1371
Neath Port Talbot,24/04/2020,13,470,328.9,45,1339
Neath Port Talbot,23/04/2020,6,457,319.8,34,1294
Neath Port Talbot,22/04/2020,15,451,315.6,42,1260
Neath Port Talbot,21/04/2020,11,436,305.1,36,1218
Neath Port Talbot,20/04/2020,16,425,297.4,49,1182
Neath Port Talbot,19/04/2020,10,409,286.2,27,1133
Neath Port Talbot,18/04/2020,14,399,279.2,28,1106
Neath Port Talbot,17/04/2020,19,385,269.4,43,1078
Neath Port Talbot,16/04/2020,25,366,256.1,53,1035
Neath Port Talbot,15/04/2020,25,341,238.6,62,982
Neath Port Talbot,14/04/2020,15,316,221.1,36,920
Neath Port Talbot,13/04/2020,16,301,210.6,38,884
Neath Port Talbot,12/04/2020,17,285,199.4,48,846
Neath Port Talbot,11/04/2020,9,268,187.5,25,798
Neath Port Talbot,10/04/2020,23,259,181.2,46,773
Neath Port Talbot,09/04/2020,14,236,165.1,37,727
Neath Port Talbot,08/04/2020,19,222,155.3,51,690
Neath Port Talbot,07/04/2020,23,203,142.1,43,639
Neath Port Talbot,06/04/2020,9,180,126,25,596
Neath Port Talbot,05/04/2020,20,171,119.7,38,571
Neath Port Talbot,04/04/2020,16,151,105.7,38,533
Neath Port Talbot,03/04/2020,17,135,94.5,38,495
Neath Port Talbot,02/04/2020,13,118,82.6,42,457
Neath Port Talbot,01/04/2020,8,105,73.5,27,415
Neath Port Talbot,31/03/2020,14,97,67.9,31,388
Neath Port Talbot,30/03/2020,22,83,58.1,43,357
Neath Port Talbot,29/03/2020,6,61,42.7,17,314
Neath Port Talbot,28/03/2020,6,55,38.5,11,297
Neath Port Talbot,27/03/2020,14,49,34.3,24,286
Neath Port Talbot,26/03/2020,6,35,24.5,22,262
Neath Port Talbot,25/03/2020,1,29,20.3,18,240
Neath Port Talbot,24/03/2020,1,28,19.6,18,222
Neath Port Talbot,23/03/2020,1,27,18.9,14,204
Neath Port Talbot,22/03/2020,3,26,18.2,14,190
Neath Port Talbot,21/03/2020,3,23,16.1,16,176
Neath Port Talbot,20/03/2020,2,20,14,19,160
Neath Port Talbot,19/03/2020,1,18,12.6,14,141
Neath Port Talbot,18/03/2020,1,17,11.9,11,127
Neath Port Talbot,17/03/2020,1,16,11.2,15,116
Neath Port Talbot,16/03/2020,0,15,10.5,7,101
Neath Port Talbot,15/03/2020,1,15,10.5,6,94
Neath Port Talbot,14/03/2020,0,14,9.8,7,88
Neath Port Talbot,13/03/2020,1,14,9.8,26,81
Neath Port Talbot,12/03/2020,2,13,9.1,12,55
Neath Port Talbot,11/03/2020,3,11,7.7,8,43
Neath Port Talbot,10/03/2020,7,8,5.6,14,35
Neath Port Talbot,09/03/2020,0,1,0.7,1,21
Neath Port Talbot,08/03/2020,0,1,0.7,0,20
Neath Port Talbot,07/03/2020,1,1,0.7,1,20
Neath Port Talbot,06/03/2020,0,0,0,0,19
Neath Port Talbot,05/03/2020,0,0,0,1,19
Neath Port Talbot,04/03/2020,0,0,0,2,18
Neath Port Talbot,03/03/2020,0,0,0,3,16
Neath Port Talbot,02/03/2020,0,0,0,1,13
Neath Port Talbot,01/03/2020,0,0,0,1,12
Neath Port Talbot,29/02/2020,0,0,0,2,11
Neath Port Talbot,28/02/2020,0,0,0,0,9
Neath Port Talbot,27/02/2020,0,0,0,3,9
Neath Port Talbot,26/02/2020,0,0,0,0,6
Neath Port Talbot,25/02/2020,0,0,0,2,6
Neath Port Talbot,24/02/2020,0,0,0,1,4
Neath Port Talbot,23/02/2020,0,0,0,0,3
Neath Port Talbot,22/02/2020,0,0,0,0,3
Neath Port Talbot,21/02/2020,0,0,0,0,3
Neath Port Talbot,20/02/2020,0,0,0,0,3
Neath Port Talbot,19/02/2020,0,0,0,0,3
Neath Port Talbot,18/02/2020,0,0,0,0,3
Neath Port Talbot,17/02/2020,0,0,0,0,3
Neath Port Talbot,16/02/2020,0,0,0,0,3
Neath Port Talbot,15/02/2020,0,0,0,1,3
Neath Port Talbot,14/02/2020,0,0,0,0,2
Neath Port Talbot,13/02/2020,0,0,0,0,2
Neath Port Talbot,12/02/2020,0,0,0,0,2
Neath Port Talbot,11/02/2020,0,0,0,0,2
Neath Port Talbot,10/02/2020,0,0,0,0,2
Neath Port Talbot,09/02/2020,0,0,0,0,2
Neath Port Talbot,08/02/2020,0,0,0,1,2
Neath Port Talbot,07/02/2020,0,0,0,1,1
Neath Port Talbot,06/02/2020,0,0,0,0,0
Neath Port Talbot,05/02/2020,0,0,0,0,0
Neath Port Talbot,04/02/2020,0,0,0,0,0
Neath Port Talbot,03/02/2020,0,0,0,0,0
Newport,01/07/2020,0,858,559.7,1,5887
Newport,30/06/2020,0,858,559.7,7,5886
Newport,29/06/2020,1,858,559.7,54,5879
Newport,28/06/2020,0,857,559,32,5825
Newport,27/06/2020,2,857,559,42,5793
Newport,26/06/2020,0,855,557.7,73,5751
Newport,25/06/2020,0,855,557.7,257,5678
Newport,24/06/2020,0,855,557.7,39,5421
Newport,23/06/2020,0,855,557.7,61,5382
Newport,22/06/2020,0,855,557.7,62,5321
Newport,21/06/2020,0,855,557.7,32,5259
Newport,20/06/2020,0,855,557.7,28,5227
Newport,19/06/2020,0,855,557.7,89,5199
Newport,18/06/2020,0,855,557.7,95,5110
Newport,17/06/2020,0,855,557.7,64,5015
Newport,16/06/2020,0,855,557.7,48,4951
Newport,15/06/2020,2,855,557.7,117,4903
Newport,14/06/2020,0,853,556.4,39,4786
Newport,13/06/2020,2,853,556.4,39,4747
Newport,12/06/2020,1,851,555.1,95,4708
Newport,11/06/2020,0,850,554.5,34,4613
Newport,10/06/2020,1,850,554.5,146,4579
Newport,09/06/2020,1,849,553.8,67,4433
Newport,08/06/2020,1,848,553.2,70,4366
Newport,07/06/2020,0,847,552.5,36,4296
Newport,06/06/2020,1,847,552.5,43,4260
Newport,05/06/2020,0,846,551.9,79,4217
Newport,04/06/2020,1,846,551.9,96,4138
Newport,03/06/2020,3,845,551.2,116,4042
Newport,02/06/2020,0,842,549.2,148,3926
Newport,01/06/2020,0,842,549.2,101,3778
Newport,31/05/2020,1,842,549.2,25,3677
Newport,30/05/2020,0,841,548.6,23,3652
Newport,29/05/2020,2,841,548.6,59,3629
Newport,28/05/2020,3,839,547.3,94,3570
Newport,27/05/2020,3,836,545.3,44,3476
Newport,26/05/2020,4,833,543.4,126,3432
Newport,25/05/2020,0,829,540.8,24,3306
Newport,24/05/2020,0,829,540.8,29,3282
Newport,23/05/2020,3,829,540.8,155,3253
Newport,22/05/2020,4,826,538.8,65,3098
Newport,21/05/2020,3,822,536.2,130,3033
Newport,20/05/2020,2,819,534.2,65,2903
Newport,19/05/2020,3,817,532.9,77,2838
Newport,18/05/2020,8,814,531,64,2761
Newport,17/05/2020,0,806,525.8,24,2697
Newport,16/05/2020,2,806,525.8,26,2673
Newport,15/05/2020,2,804,524.5,35,2647
Newport,14/05/2020,2,802,523.2,39,2612
Newport,13/05/2020,3,800,521.8,50,2573
Newport,12/05/2020,2,797,519.9,38,2523
Newport,11/05/2020,3,795,518.6,38,2485
Newport,10/05/2020,2,792,516.6,22,2447
Newport,09/05/2020,5,790,515.3,40,2425
Newport,08/05/2020,10,785,512.1,94,2385
Newport,07/05/2020,11,775,505.5,63,2291
Newport,06/05/2020,19,764,498.4,135,2228
Newport,05/05/2020,7,745,486,50,2093
Newport,04/05/2020,6,738,481.4,37,2043
Newport,03/05/2020,5,732,477.5,23,2006
Newport,02/05/2020,12,727,474.2,57,1983
Newport,01/05/2020,8,715,466.4,49,1926
Newport,30/04/2020,11,707,461.2,50,1877
Newport,29/04/2020,8,696,454,39,1827
Newport,28/04/2020,3,688,448.8,32,1788
Newport,27/04/2020,5,685,446.8,37,1756
Newport,26/04/2020,6,680,443.6,19,1719
Newport,25/04/2020,4,674,439.7,27,1700
Newport,24/04/2020,7,670,437,49,1673
Newport,23/04/2020,6,663,432.5,30,1624
Newport,22/04/2020,10,657,428.6,47,1594
Newport,21/04/2020,17,647,422,46,1547
Newport,20/04/2020,10,630,411,38,1501
Newport,19/04/2020,4,620,404.4,22,1463
Newport,18/04/2020,9,616,401.8,41,1441
Newport,17/04/2020,10,607,396,37,1400
Newport,16/04/2020,11,597,389.4,55,1363
Newport,15/04/2020,9,586,382.3,37,1308
Newport,14/04/2020,13,577,376.4,34,1271
Newport,13/04/2020,9,564,367.9,24,1237
Newport,12/04/2020,7,555,362,18,1213
Newport,11/04/2020,10,548,357.5,25,1195
Newport,10/04/2020,18,538,350.9,45,1170
Newport,09/04/2020,17,520,339.2,39,1125
Newport,08/04/2020,25,503,328.1,47,1086
Newport,07/04/2020,23,478,311.8,38,1039
Newport,06/04/2020,15,455,296.8,35,1001
Newport,05/04/2020,4,440,287,12,966
Newport,04/04/2020,16,436,284.4,43,954
Newport,03/04/2020,22,420,274,49,911
Newport,02/04/2020,28,398,259.6,49,862
Newport,01/04/2020,34,370,241.4,69,813
Newport,31/03/2020,27,336,219.2,51,744
Newport,30/03/2020,32,309,201.6,51,693
Newport,29/03/2020,22,277,180.7,47,642
Newport,28/03/2020,25,255,166.3,44,595
Newport,27/03/2020,15,230,150,43,551
Newport,26/03/2020,24,215,140.2,48,508
Newport,25/03/2020,37,191,124.6,67,460
Newport,24/03/2020,22,154,100.5,50,393
Newport,23/03/2020,26,132,86.1,41,343
Newport,22/03/2020,15,106,69.1,31,302
Newport,21/03/2020,16,91,59.4,40,271
Newport,20/03/2020,18,75,48.9,43,231
Newport,19/03/2020,8,57,37.2,29,188
Newport,18/03/2020,6,49,32,17,159
Newport,17/03/2020,11,43,28,38,142
Newport,16/03/2020,11,32,20.9,24,104
Newport,15/03/2020,13,21,13.7,20,80
Newport,14/03/2020,3,8,5.2,7,60
Newport,13/03/2020,3,5,3.3,14,53
Newport,12/03/2020,0,2,1.3,5,39
Newport,11/03/2020,1,2,1.3,7,34
Newport,10/03/2020,0,1,0.7,2,27
Newport,09/03/2020,0,1,0.7,0,25
Newport,08/03/2020,1,1,0.7,1,25
Newport,07/03/2020,0,0,0,0,24
Newport,06/03/2020,0,0,0,0,24
Newport,05/03/2020,0,0,0,0,24
Newport,04/03/2020,0,0,0,4,24
Newport,03/03/2020,0,0,0,5,20
Newport,02/03/2020,0,0,0,4,15
Newport,01/03/2020,0,0,0,0,11
Newport,29/02/2020,0,0,0,0,11
Newport,28/02/2020,0,0,0,3,11
Newport,27/02/2020,0,0,0,3,8
Newport,26/02/2020,0,0,0,0,5
Newport,25/02/2020,0,0,0,0,5
Newport,24/02/2020,0,0,0,0,5
Newport,23/02/2020,0,0,0,0,5
Newport,22/02/2020,0,0,0,0,5
Newport,21/02/2020,0,0,0,0,5
Newport,20/02/2020,0,0,0,0,5
Newport,19/02/2020,0,0,0,0,5
Newport,18/02/2020,0,0,0,0,5
Newport,17/02/2020,0,0,0,0,5
Newport,16/02/2020,0,0,0,0,5
Newport,15/02/2020,0,0,0,1,5
Newport,14/02/2020,0,0,0,2,4
Newport,13/02/2020,0,0,0,0,2
Newport,12/02/2020,0,0,0,0,2
Newport,11/02/2020,0,0,0,0,2
Newport,10/02/2020,0,0,0,0,2
Newport,09/02/2020,0,0,0,0,2
Newport,08/02/2020,0,0,0,1,2
Newport,07/02/2020,0,0,0,1,1
Newport,06/02/2020,0,0,0,0,0
Newport,05/02/2020,0,0,0,0,0
Newport,04/02/2020,0,0,0,0,0
Newport,03/02/2020,0,0,0,0,0
Outside Wales,01/07/2020,0,128,,0,956
Outside Wales,30/06/2020,0,128,,6,956
Outside Wales,29/06/2020,0,128,,11,950
Outside Wales,28/06/2020,0,128,,7,939
Outside Wales,27/06/2020,1,128,,17,932
Outside Wales,26/06/2020,0,127,,20,915
Outside Wales,25/06/2020,2,127,,22,895
Outside Wales,24/06/2020,0,125,,12,873
Outside Wales,23/06/2020,2,125,,14,861
Outside Wales,22/06/2020,2,123,,24,847
Outside Wales,21/06/2020,1,121,,18,823
Outside Wales,20/06/2020,0,120,,7,805
Outside Wales,19/06/2020,0,120,,5,798
Outside Wales,18/06/2020,0,120,,10,793
Outside Wales,17/06/2020,0,120,,9,783
Outside Wales,16/06/2020,1,120,,8,774
Outside Wales,15/06/2020,1,119,,6,766
Outside Wales,14/06/2020,0,118,,19,760
Outside Wales,13/06/2020,1,118,,8,741
Outside Wales,12/06/2020,0,117,,20,733
Outside Wales,11/06/2020,0,117,,5,713
Outside Wales,10/06/2020,0,117,,9,708
Outside Wales,09/06/2020,0,117,,13,699
Outside Wales,08/06/2020,0,117,,10,686
Outside Wales,07/06/2020,0,117,,7,676
Outside Wales,06/06/2020,0,117,,17,669
Outside Wales,05/06/2020,0,117,,15,652
Outside Wales,04/06/2020,1,117,,14,637
Outside Wales,03/06/2020,0,116,,15,623
Outside Wales,02/06/2020,1,116,,14,608
Outside Wales,01/06/2020,0,115,,10,594
Outside Wales,31/05/2020,0,115,,2,584
Outside Wales,30/05/2020,0,115,,8,582
Outside Wales,29/05/2020,0,115,,10,574
Outside Wales,28/05/2020,0,115,,8,564
Outside Wales,27/05/2020,0,115,,8,556
Outside Wales,26/05/2020,0,115,,28,548
Outside Wales,25/05/2020,0,115,,10,520
Outside Wales,24/05/2020,0,115,,1,510
Outside Wales,23/05/2020,0,115,,8,509
Outside Wales,22/05/2020,0,115,,4,501
Outside Wales,21/05/2020,0,115,,4,497
Outside Wales,20/05/2020,0,115,,8,493
Outside Wales,19/05/2020,2,115,,13,485
Outside Wales,18/05/2020,2,113,,9,472
Outside Wales,17/05/2020,0,111,,10,463
Outside Wales,16/05/2020,0,111,,4,453
